MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Población a 1 de julio,POB_1_JULIO,Región de Murcia,ES62,2001,2001,1191.8,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Región de Murcia,ES62,2001,2001,4.3696512339,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Región de Murcia,ES62,2001,2001,14383.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Región de Murcia,ES62,2001,2001,17141718.0,,,
Población a 1 de julio,POB_1_JULIO,Andalucía,ES61,2001,2001,7341.5,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Andalucía,ES61,2001,2001,3.8186271903,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Andalucía,ES61,2001,2001,12764.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Andalucía,ES61,2001,2001,93709992.0,,,
Población a 1 de julio,POB_1_JULIO,Illes Balears / Islas Baleares,ES53,2001,2001,836.9,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Illes Balears / Islas Baleares,ES53,2001,2001,2.4275183824,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Illes Balears / Islas Baleares,ES53,2001,2001,21353.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Illes Balears / Islas Baleares,ES53,2001,2001,17870191.0,,,
Población a 1 de julio,POB_1_JULIO,Comunidad Valenciana,ES52,2001,2001,4150.8,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Comunidad Valenciana,ES52,2001,2001,5.0089237648,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Comunidad Valenciana,ES52,2001,2001,16504.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Comunidad Valenciana,ES52,2001,2001,68504386.0,,,
Población a 1 de julio,POB_1_JULIO,Cataluña,ES51,2001,2001,6330.9,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Cataluña,ES51,2001,2001,4.3674627694,,,
